date_time,temperature,humidity,wind_speed,wind_direction,pressure,precipitation,cloud_coverage,weather_condition,forecasted_weather,year,month,day,hour,weekday,is_weekend,season,wind_dir_label,season_encoded,wind_dir_encoded
01-01-2012,0.416393443,0.775510204,0.472527473,63,0.422351234,0,0.33,drizzle,drizzle,2012,1,1,0,6,1,Winter,NE,3,2
02-01-2012,0.344262295,0.571428571,0.450549451,129,0.595065312,0.194991055,0.25,rain,rain,2012,1,2,0,0,0,Winter,SE,3,5
03-01-2012,0.43442623,0.285714286,0.208791209,309,0.516690856,0.01431127,0.46,rain,drizzle,2012,1,3,0,1,0,Winter,NW,3,3
04-01-2012,0.416393443,0.857142857,0.472527473,192,0.467343977,0.363148479,0.04,rain,rain,2012,1,4,0,2,0,Winter,S,3,4
05-01-2012,0.316393443,0.142857143,0.626373626,306,0.510885341,0.023255814,0.89,rain,sun,2012,1,5,0,3,0,Winter,NW,3,3
06-01-2012,0.232786885,0.408163265,0.197802198,180,0.420899855,0.044722719,0.19,rain,rain,2012,1,6,0,4,0,Winter,S,3,4
07-01-2012,0.28852459,0.775510204,0.208791209,291,0.208998549,0,0.05,rain,snow,2012,1,7,0,5,1,Winter,W,3,7
08-01-2012,0.33442623,0.367346939,0.175824176,281,0.605224964,0,0.69,sun,sun,2012,1,8,0,6,1,Winter,W,3,7
09-01-2012,0.360655738,0.448979592,0.32967033,28,0.647314949,0.076923077,0.58,rain,rain,2012,1,9,0,0,0,Winter,NE,3,2
10-01-2012,0.23442623,0.204081633,0.32967033,148,0.386066763,0.017889088,0.63,rain,rain,2012,1,10,0,1,0,Winter,SE,3,5
11-01-2012,0.206557377,0.204081633,0.516483516,266,0.470246734,0,0.17,sun,sun,2012,1,11,0,2,0,Winter,W,3,7
12-01-2012,0.196721311,0.469387755,0.164835165,295,0.457184325,0,0.03,sun,sun,2012,1,12,0,3,0,Winter,NW,3,3
13-01-2012,0.160655738,0.714285714,0.098901099,10,0.542815675,0,0.16,sun,sun,2012,1,13,0,4,0,Winter,N,3,1
14-01-2012,0.206557377,0.795918367,0.538461538,163,0.737300435,0.073345259,0.13,snow,rain,2012,1,14,0,5,1,Winter,S,3,4
15-01-2012,0.08852459,0.469387755,0.307692308,112,0.660377358,0.094812165,0.77,snow,snow,2012,1,15,0,6,1,Winter,E,3,0
16-01-2012,0.106557377,0.040816327,0.505494505,186,0.436865022,0.044722719,0.12,snow,snow,2012,1,16,0,0,0,Winter,S,3,4
17-01-2012,0.178688525,0.428571429,0.571428571,294,0.570391872,0.14490161,0.06,snow,snow,2012,1,17,0,1,0,Winter,NW,3,3
18-01-2012,0.078688525,0.020408163,0.505494505,231,0.673439768,0.354203936,0.43,snow,sun,2012,1,18,0,2,0,Winter,SW,3,6
19-01-2012,0.060655738,0.469387755,0.131868132,226,0.551523948,0.271914132,0.14,snow,snow,2012,1,19,0,3,0,Winter,SW,3,6
20-01-2012,0.224590164,0.87755102,0.208791209,309,0.492017417,0.241502683,0.18,snow,snow,2012,1,20,0,4,0,Winter,NW,3,3
21-01-2012,0.314754098,0.591836735,0.857142857,97,0.557329463,0.053667263,0.62,rain,rain,2012,1,21,0,5,1,Winter,E,3,0
22-01-2012,0.270491803,0.755102041,0.483516484,54,0.3904209,0.109123435,0.34,rain,snow,2012,1,22,0,6,1,Winter,NE,3,2
23-01-2012,0.278688525,0.020408163,0.351648352,110,0.410740203,0,0.8,rain,rain,2012,1,23,0,0,0,Winter,E,3,0
24-01-2012,0.324590164,0.408163265,0.516483516,151,0.338171263,0.153846154,0.34,rain,drizzle,2012,1,24,0,1,0,Winter,SE,3,5
25-01-2012,0.342622951,0.653061224,0.549450549,245,0.53701016,0.14490161,0.18,rain,rain,2012,1,25,0,2,0,Winter,SW,3,6
26-01-2012,0.28852459,0.224489796,0.483516484,68,0.473149492,0.085867621,0.19,rain,rain,2012,1,26,0,3,0,Winter,E,3,0
27-01-2012,0.198360656,0.428571429,0.10989011,311,0.373004354,0,0.99,drizzle,drizzle,2012,1,27,0,4,0,Winter,NW,3,3
28-01-2012,0.244262295,0.87755102,0.197802198,288,0.468795356,0,0.34,rain,fog,2012,1,28,0,5,1,Winter,W,3,7
29-01-2012,0.342622951,0.489795918,0.450549451,249,0.560232221,0.495527728,0.31,rain,rain,2012,1,29,0,6,1,Winter,W,3,7
30-01-2012,0.360655738,0.979591837,0.516483516,35,0.769230769,0.064400716,0.47,rain,rain,2012,1,30,0,0,0,Winter,NE,3,2
31-01-2012,0.378688525,0.530612245,0.384615385,238,0.638606676,0.032200358,0.43,rain,snow,2012,1,31,0,1,0,Winter,SW,3,6
01-02-2012,0.324590164,0.836734694,0.252747253,147,0.161103048,0.241502683,0.23,rain,rain,2012,2,1,0,2,0,Winter,SE,3,5
02-02-2012,0.28852459,0.551020408,0.241758242,226,0.526850508,0,0.6,sun,sun,2012,2,2,0,3,0,Winter,SW,3,6
03-02-2012,0.396721311,0.306122449,0.538461538,243,0.699564586,0,0.16,sun,sun,2012,2,3,0,4,0,Winter,SW,3,6
04-02-2012,0.462295082,0.285714286,0.428571429,336,0.297532656,0,0.7,sun,sun,2012,2,4,0,5,1,Winter,NW,3,3
05-02-2012,0.380327869,0.93877551,0.274725275,200,0.571843251,0,0.49,sun,snow,2012,2,5,0,6,1,Winter,S,3,4
06-02-2012,0.416393443,0.87755102,0.505494505,153,0.457184325,0,0.64,sun,sun,2012,2,6,0,0,0,Winter,SE,3,5
07-02-2012,0.508196721,0.040816327,0.538461538,72,0.65892598,0.005366726,0.98,rain,rain,2012,2,7,0,1,0,Winter,E,3,0
08-02-2012,0.370491803,0.734693878,0.252747253,200,0.550072569,0.050089445,0.31,rain,rain,2012,2,8,0,2,0,Winter,S,3,4
09-02-2012,0.43442623,0.12244898,0.21978022,295,0.364296081,0.044722719,0.35,rain,rain,2012,2,9,0,3,0,Winter,NW,3,3
10-02-2012,0.444262295,0.408163265,0.285714286,16,0.46298984,0.044722719,0.12,rain,sun,2012,2,10,0,4,0,Winter,N,3,1
11-02-2012,0.362295082,0.163265306,0.32967033,128,0.471698113,0.01431127,0.69,rain,rain,2012,2,11,0,5,1,Winter,SE,3,5
12-02-2012,0.342622951,0.775510204,0.098901099,216,0.474600871,0.017889088,0.57,rain,drizzle,2012,2,12,0,6,1,Winter,SW,3,6
13-02-2012,0.314754098,0.346938776,0.10989011,60,0.654571843,0.203935599,0.13,rain,rain,2012,2,13,0,0,0,Winter,NE,3,2
14-02-2012,0.252459016,0.06122449,0.296703297,103,0.370101597,0.044722719,0.36,rain,rain,2012,2,14,0,1,0,Winter,E,3,0
15-02-2012,0.252459016,0.489795918,0.153846154,41,0.637155298,0,0.78,drizzle,drizzle,2012,2,15,0,2,0,Winter,NE,3,2
16-02-2012,0.296721311,0.265306122,0.186813187,24,0.448476052,0.032200358,0.67,rain,rain,2012,2,16,0,3,0,Winter,NE,3,2
17-02-2012,0.360655738,1,0.32967033,38,0.52394775,0.309481216,0.39,rain,fog,2012,2,17,0,4,0,Winter,NE,3,2
18-02-2012,0.298360656,0.163265306,0.846153846,290,0.502177068,0.114490161,0.58,rain,rain,2012,2,18,0,5,1,Winter,W,3,7
19-02-2012,0.270491803,0.510204082,0.472527473,130,0.489114659,0,0.79,sun,sun,2012,2,19,0,6,1,Winter,SE,3,5
